********************************************************************************
Field Output Report, written Tue Nov 29 15:46:59 2016

Source 1
---------

   ODB: C:/Software/SIMULIA/Temp/importrolling/importrolling_roll_flat.odb
   Step: Step-4
   Frame: Increment     13584: Step Time =   2.5001E-02

Loc 1 : Nodal values at CSHEARF  STREAD/SROAD from source 1

Output sorted by column "CSHEARF  STREAD/SROAD.FORCE1".

Field Output reported at nodes for part: PART-1-1

            Node  CSHEARF  STREAD/SROAD.Magnitude  CSHEARF  STREAD/SROAD.FORCE1  CSHEARF  STREAD/SROAD.FORCE2  CSHEARF  STREAD/SROAD.FORCE3
           Label          @Loc 1          @Loc 1          @Loc 1          @Loc 1
          101540              0.              0.              0.              0.
          101545              0.              0.              0.              0.
          101550              0.              0.              0.              0.
          102027              0.              0.              0.              0.
          102031              0.              0.              0.              0.
          102035              0.              0.              0.              0.
          102040              0.              0.              0.              0.
          102045              0.              0.              0.              0.
          102050              0.              0.              0.              0.
          102527              0.              0.              0.              0.
          102531              0.              0.              0.              0.
          102535              0.              0.              0.              0.
          102540              0.              0.              0.              0.
          102545              0.              0.              0.              0.
          102550              0.              0.              0.              0.
          103027              0.              0.              0.              0.
          103031              0.              0.              0.              0.
          103035              0.              0.              0.              0.
          103040              0.              0.              0.              0.
          103045              0.              0.              0.              0.
          103050              0.              0.              0.              0.
          103527              0.              0.              0.              0.
          103531              0.              0.              0.              0.
          103535              0.              0.              0.              0.
          103540              0.              0.              0.              0.
          103545              0.              0.              0.              0.
          103550              0.              0.              0.              0.
          104027              0.              0.              0.              0.
          104031              0.              0.              0.              0.
          104035              0.              0.              0.              0.
          104040              0.              0.              0.              0.
          104045              0.              0.              0.              0.
          104050              0.              0.              0.              0.
          104527              0.              0.              0.              0.
          104531              0.              0.              0.              0.
          104535              0.              0.              0.              0.
          104540              0.              0.              0.              0.
          104545              0.              0.              0.              0.
          104550              0.              0.              0.              0.
          105027              0.              0.              0.              0.
          105031              0.              0.              0.              0.
          105035              0.              0.              0.              0.
          105040              0.              0.              0.              0.
          105045              0.              0.              0.              0.
          105050              0.              0.              0.              0.
          105527              0.              0.              0.              0.
          105531              0.              0.              0.              0.
          105535              0.              0.              0.              0.
          105540              0.              0.              0.              0.
          105545              0.              0.              0.              0.
          105550              0.              0.              0.              0.
          106027              0.              0.              0.              0.
          106031              0.              0.              0.              0.
          106035              0.              0.              0.              0.
          106040              0.              0.              0.              0.
          106045              0.              0.              0.              0.
          106050              0.              0.              0.              0.
          106527              0.              0.              0.              0.
          106531              0.              0.              0.              0.
          106535              0.              0.              0.              0.
          106540              0.              0.              0.              0.
